run,demand,policy,step,avg_wait_time,avg_journey_time,stair_switch_rate,elevator_utilization,avg_student_wait,avg_faculty_wait,avg_staff_wait,equity_student_faculty,equity_student_staff
106,low,Zone batching,10800,38.893470790378004,61.329896907216494,0.12371134020618557,0.22514285714285714,39.246753246753244,39.07142857142857,38.745,1.004487286022935,1.0129501418700024
107,medium,Zone batching,10800,41.5063829787234,67.55319148936171,0.14042553191489363,0.3,43.89558232931727,43.8125,37.96825396825397,1.0018963156477552,1.1561127452955635
108,high,Zone batching,10800,50.211779448621556,82.23308270676692,0.18796992481203006,0.37952380952380954,52.54126679462572,45.479166666666664,45.903930131004365,1.1552820916821047,1.1445919041066677
109,low,FCFS,10800,27.81761006289308,49.5,0.018867924528301886,0.2776190476190476,29.65934065934066,18.0,27.586046511627906,1.6477411477411479,1.0751573498159235
110,medium,FCFS,10800,34.182,61.67,0.03,0.3523809523809524,38.26274509803922,22.916666666666668,31.14354066985646,1.6696470588235295,1.2285932901352277
111,high,FCFS,10800,41.80880503144654,73.85157232704402,0.08930817610062892,0.40076190476190476,46.74324324324324,24.93877551020408,34.223684210526315,1.8743199009156455,1.3658156426322516
112,low,Priority-based,10800,37.884488448844884,57.72937293729373,0.1617161716171617,0.21047619047619048,42.0,51.0,35.430622009569376,0.8235294117647058,1.185415259959487
113,medium,Priority-based,10800,41.84939759036145,67.76506024096386,0.12650602409638553,0.3261904761904762,45.03404255319149,39.0,39.00423728813559,1.1547190398254228,1.1545935950628128
114,high,Priority-based,10800,54.6602809706258,87.83652618135376,0.26436781609195403,0.3514285714285714,55.8042226487524,48.979166666666664,53.149532710280376,1.1393461025691687,1.0499475687386155
115,low,Zone batching,10800,34.57597173144876,55.59363957597173,0.14840989399293286,0.21923809523809523,45.96052631578947,56.23076923076923,28.664948453608247,0.8173554611563106,1.6033702760768132
116,medium,Zone batching,10800,43.40562248995984,69.51204819277109,0.14457831325301204,0.3314285714285714,48.386178861788615,47.92857142857143,37.370535714285715,1.0095476960730858,1.2947681358309222
117,high,Zone batching,10800,50.62214611872146,84.48972602739725,0.16552511415525115,0.44961904761904764,51.02030456852792,37.092592592592595,52.76623376623377,1.375484995856469,0.966911998960534
118,low,FCFS,10800,26.61744966442953,47.053691275167786,0.026845637583892617,0.23523809523809525,35.148648648648646,20.75,24.033653846153847,1.6939107782481275,1.4624762790395915
119,medium,FCFS,10800,34.09375,62.130859375,0.01953125,0.36542857142857144,39.35632183908046,23.575,29.578199052132703,1.6694091978401042,1.3305854683617973
120,high,FCFS,10800,43.14646464646464,76.62752525252525,0.0845959595959596,0.36657142857142855,46.72727272727273,28.23913043478261,38.056768558951966,1.6546994191335993,1.227830803734418
121,low,Priority-based,10800,28.061855670103093,47.446735395189,0.07216494845360824,0.23647619047619048,34.4025974025974,42.916666666666664,24.762376237623762,0.801613920060522,1.3893092113803829
122,medium,Priority-based,10800,52.44957983193277,83.38235294117646,0.33613445378151263,0.26152380952380955,59.44583333333333,47.457142857142856,44.96517412935324,1.252621412803532,1.3220416574463376
123,high,Priority-based,10800,58.813648293963254,92.57349081364829,0.3464566929133858,0.37,57.605633802816904,43.68518518518518,65.5308056872038,1.3186537623366312,0.8790618885075842
124,low,Zone batching,10800,30.843260188087775,51.338557993730404,0.09404388714733543,0.23047619047619047,37.8,43.125,26.065,0.8765217391304347,1.4502206023403028
125,medium,Zone batching,10800,45.857142857142854,72.70463320463321,0.1776061776061776,0.3017142857142857,43.984313725490196,49.575,47.33183856502242,0.887227710045188,0.9292754107801339
126,high,Zone batching,10800,53.984223300970875,86.08373786407768,0.2366504854368932,0.36666666666666664,51.61623616236162,40.486111111111114,64.72380952380952,1.2749121796535288,0.7974845198716849
127,low,FCFS,10800,27.526315789473685,47.640866873065015,0.03715170278637771,0.25,33.028169014084504,27.454545454545453,25.90871369294606,1.2030127786587073,1.2747899955788542
128,medium,FCFS,10800,31.209302325581394,58.174418604651166,0.027906976744186046,0.30952380952380953,36.879629629629626,24.90909090909091,25.591160220994475,1.4805690727223573,1.4411081526258556
129,high,FCFS,10800,44.565006075334146,78.99027946537059,0.09720534629404617,0.39904761904761904,50.0556552962298,27.42222222222222,34.217194570135746,1.8253683049678615,1.4628801666843145
130,low,Priority-based,10800,35.300632911392405,57.22784810126582,0.1360759493670886,0.23666666666666666,43.79347826086956,50.57142857142857,30.561904761904763,0.865972733971997,1.4329433522565609
131,medium,Priority-based,10800,49.516194331983804,76.98582995951416,0.23481781376518218,0.3019047619047619,53.19047619047619,41.885714285714286,46.333333333333336,1.2698954070031832,1.1479958890030832
132,high,Priority-based,10800,51.1359102244389,83.03740648379052,0.17955112219451372,0.3823809523809524,51.04085257548846,40.10909090909091,54.72282608695652,1.272550721510365,0.932715947352257
133,low,Zone batching,10800,39.714765100671144,60.553691275167786,0.17114093959731544,0.22476190476190477,39.876543209876544,58.888888888888886,38.82211538461539,0.6771488469601677,1.0271604938271606
134,medium,Zone batching,10800,48.31923890063425,77.51585623678648,0.22410147991543342,0.2923809523809524,48.21576763485477,41.23529411764706,49.66161616161616,1.1692839512018989,0.9708859952914924
135,high,Zone batching,10800,51.98045977011494,85.17701149425288,0.20229885057471264,0.4147619047619048,50.346416382252556,44.905660377358494,57.74891774891775,1.1211596925459602,0.8718157559445533
136,low,FCFS,10800,24.68978102189781,43.21167883211679,0.04744525547445255,0.20904761904761904,29.9,24.210526315789473,23.133333333333333,1.235,1.292507204610951
137,medium,FCFS,10800,36.88187372708757,64.17515274949083,0.05295315682281059,0.32095238095238093,38.11507936507937,27.142857142857142,37.029411764705884,1.4042397660818715,1.029319061487449
138,high,FCFS,10800,40.93678887484197,73.70164348925411,0.10366624525916561,0.37,45.5899419729207,27.310344827586206,33.458333333333336,1.6693286833518943,1.3625885521171814
139,low,Priority-based,10800,32.975155279503106,54.41925465838509,0.10559006211180125,0.256,36.92929292929293,53.611111111111114,29.253658536585366,0.6888365520489872,1.2623820327672253
140,medium,Priority-based,10800,43.130434782608695,70.3201581027668,0.1007905138339921,0.37952380952380954,47.029411764705884,44.4375,39.021186440677965,1.0583271283196822,1.2052276225942653
141,high,Priority-based,10800,64.19602649006623,99.37086092715232,0.5165562913907285,0.254,68.34387351778656,51.9344262295082,57.01063829787234,1.315964736295764,1.1987915862421976
142,low,Zone batching,10800,40.827922077922075,63.00974025974026,0.22727272727272727,0.19428571428571428,54.473684210526315,50.578947368421055,35.08920187793427,1.077003121748179,1.552434404180105
143,medium,Zone batching,10800,46.908482142857146,73.21205357142857,0.20535714285714285,0.30333333333333334,49.51152073732719,46.61290322580645,44.13,1.0621848739495798,1.1219469915551141
144,high,Zone batching,10800,63.92490613266583,98.42052565707134,0.4793491864831039,0.31742857142857145,66.20683111954459,53.47826086956522,61.55172413793103,1.2380139152435166,1.0756291890570269
145,low,FCFS,10800,24.65830721003135,46.125391849529784,0.018808777429467086,0.2723809523809524,26.955555555555556,17.214285714285715,24.18139534883721,1.5658828953434762,1.1147229168002393
146,medium,FCFS,10800,35.932461873638346,65.33333333333333,0.04793028322440087,0.32485714285714284,40.294117647058826,25.23076923076923,32.03589743589744,1.597022955523673,1.2577802050866769
147,high,FCFS,10800,43.21673003802282,75.5830164765526,0.09378960709759189,0.38485714285714284,46.975425330812854,29.333333333333332,37.09090909090909,1.6014349544595292,1.266494310389562
148,low,Priority-based,10800,36.66319444444444,58.05555555555556,0.17708333333333334,0.2280952380952381,50.52857142857143,32.666666666666664,32.19138755980861,1.5467930029154522,1.5696301172074063
149,medium,Priority-based,10800,54.60995850622407,81.14522821576763,0.3153526970954357,0.25761904761904764,52.56709956709957,53.1875,56.97260273972603,0.9883355970312492,0.9226733032936447
150,high,Priority-based,10800,51.17852834740651,83.32810615199035,0.20386007237635706,0.4157142857142857,52.32675044883303,43.71875,50.39903846153846,1.196894935212764,1.0382489834357789
151,low,Zone batching,10800,40.09508196721311,61.59672131147541,0.2360655737704918,0.20142857142857143,54.76,36.84615384615385,35.22119815668203,1.486179540709812,1.5547455187753498
152,medium,Zone batching,10800,40.60587002096436,67.14884696016772,0.19077568134171907,0.3056190476190476,46.888888888888886,48.77142857142857,32.774193548387096,0.9614007680791511,1.4306649168853893
153,high,Zone batching,10800,53.17516339869281,84.30326797385621,0.23529411764705882,0.37142857142857144,52.142857142857146,43.0,58.4392523364486,1.212624584717608,0.8922574307189692
